1	861272047248839
2	861272047222172
3	869883040130873
4	861272047232536
5	868609048474034
6	868609048169931
7	861272047222511
8	861272047252815
9	868609048447618
10	868609048170897
11	861272047226199
12	861272047218576
13	868515047513773
14	868609048472491
15	868609048452311
16	868609048463599
17	861272047238574
18	861272047254530
19	861272047237931
20	861272047250496
21	861272047235232
22	868609048457575
23	861272047246510
24	868609048446818
25	868609048440118
26	861272047230159
27	868609048484298
28	861272047233690
29	868609048469232
30	861272047231199
31	868609048162712
32	869883040136359
33	861272047236230
34	868515047495997
35	868609048171531
36	868609048166135
37	868609048170376
38	868609048471196
39	861272047245850
40	861272047249217
41	868609048470651
42	868609048168495
43	868609048463516
44	861272047229458
45	861272047250454
46	868609048444557
47	868609048163033
48	868609048408990
49	868609048479033
50	868609048444458
51	868609048442957
52	868609048472574
53	868609048478753
54	868609048463730
55	868609048444037
56	868609048233257
57	868609048168271
58	861272047239770
59	861272047176451
60	868515047500853
61	861272047251718
62	868609048167992
63	868609048168354
64	868515047511793
65	861272047266971
66	868609048478555
67  353403930257463
